name,movie
Kester Fordham,"The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring"
Siaosi Fonua,"The Legend of Baron To'a,The Meg,Ghost in the Shell,Pete's Dragon,The Shannara Chronicles,The Patriarch,The Hobbit: The Battle of the Five Armies,The Z-Nail Gang,The Warrior's Way,Avalon High,Spartacus,Avatar,10,000 BC,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,The Legend of Baron To'a,The Other Side of Heaven 2: Fire of Faith,The Dead Lands,Zero Dark Thirty,Spartacus,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Cleopatra 2525,Xena: Warrior Princess,Hercules: The Legendary Journeys,The Luminaries"
Branko Dordevich,"The Water Horse,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring"
Mana Hira Davis,"Avatar 2,Fengshen Trilogy,Sweet Tooth,Godzilla vs. Kong,Aquaman,The Meg,Thor: Ragnarok,Ghost in the Shell,Mechanic: Resurrection,Just 3 Girls,Gods of Egypt,Ash vs Evil Dead,San Andreas,Kingsman: The Secret Service,The Hobbit: The Battle of the Five Armies,The Dead Lands,The Hobbit: The Desolation of Smaug,Beyond the Edge,Spartacus,The Hobbit: An Unexpected Journey,My Wedding and Other Secrets,Spartacus: Gods of the Arena,Yogi Bear,The Warrior's Way,Legend of the Seeker,Underworld: Rise of the Lycans,The Chronicles of Narnia: Prince Caspian,The Water Horse,30 Days of Night,The Lost Children,X-Men: The Last Stand,King Kong,River Queen,Without a Paddle,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,Roman Empire,Ghost in the Shell,Do No Harm,Just 3 Girls,The Chronicles of Narnia: Prince Caspian,King Kong,The Lord of the Rings: The Two Towers,Turangawaewae,The Lord of the Rings: The Fellowship of the Ring,The Hobbit: The Battle of the Five Armies,The Last Samurai,Designing Middle-Earth,Warriors of the Third Age"
Shane Dawson,"Six Angry Women,Brutal Lives - Mo'ui Faingata'a,Mulan,The Legend of Baron To'a,The Meg,Tree,Roman Empire,Crouching Tiger, Hidden Dragon: Sword of Destiny,Lumen,Abandoned,The Hobbit: The Battle of the Five Armies,The Dark Horse,Spartacus,Evil Dead,The Hobbit: An Unexpected Journey,Spartacus: Gods of the Arena,Avatar,The Lovely Bones,Aliens in the Attic,Underworld: Rise of the Lycans,The Chronicles of Narnia: Prince Caspian,10,000 BC,30 Days of Night,Bridge to Terabithia,Power Rangers Mystic Force,King Kong,River Queen,Power Rangers S.P.D.,The Lord of the Rings: The Return of the King,Hard Out,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Street Legal,Cleopatra 2525,Jack of All Trades,Forbidden Island,Xena: Warrior Princess,Amazon High,The Ugly,Hercules in the Maze of the Minotaur,Hercules: The Legendary Journeys - The Circle of Fire,Hercules: The Legendary Journeys - Hercules and the Lost Kingdom,Hercules and the Amazon Women,The Tommyknockers,Marlin Bay,Queen City Rocker,The Hobbit: The Battle of the Five Armies,The Dark Horse,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Ally McBeal,Young Hercules,Hercules: The Legendary Journeys,Rapa Nui,Adventurer,Queen City Rocker"
Rachel Clentworth,"The Unraveling,Eternity,Ollie,Angels Crest,The Survivor,The Artist,The Lord of the Rings: The Fellowship of the Ring"
Tack Daniel,"Freaky,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring"
Randall William Cook,"Death Note,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,From the Earth to the Moon,Redline,Demon in the Bottle,Josh Kirby: Time Warrior! Chap. 1: Planet of the Dino-Knights,Prehysteria! 3,Leapin' Leprechauns!,Dragonworld,Puppet Master 4,Doctor Mordrid,Highway to Hell,Puppet Master II,Gate 2: The Trespassers,I, Madman,The Gate,Poltergeist II: The Other Side,Fright Night,2010: The Year We Make Contact,Ghostbusters,Q,The Thing,Caveman,The Day Time Ended,Laserblast,The Crater Lake Monster,King Kong,The Lord of the Rings: The Fellowship of the Ring,Redline,Demon in the Bottle,Dr. Caligari,I, Madman,The Brave Little Toaster,The Spirit,Demon in the Bottle,Life Goes on,Bloodlust: Subspecies III,Subspecies,Gate 2: The Trespassers,Demon in the Bottle,King Kong,Gate 2: The Trespassers,I, Madman,The Further Adventures of Major Mars,Cleanin' Up the Town: Remembering Ghostbusters,The Thing: Terror Takes Shape,Cleanin' Up the Town: Remembering Ghostbusters,Return to the Nightmare: A Look Back at Gate II,The Gate: Unlocked,Tom Holland: Writing Horror,You're So Cool, Brewster! The Story of Fright Night,Behind the Chameleon,I, Madman: Interviews with the actors,Ripped from the Pages: The Making of I, Madman,Ray Harryhausen: Special Effects Titan,From Hell: The Creatures and Demons of the Gate,Recreating the Eighth Wonder: The Making of 'King Kong',Greatest Ever Blockbuster Movies,RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World',Ray Harryhausen: The Early Years Collection,The End of All Things,Weta Digital,The 76th Annual Academy Awards,The Taming of Sméagol,Weta Digital,The 75th Annual Academy Awards,Scale,Storyboards and Pre-viz: Making Words Into Images,Weta Digital,Trinity and Beyond: The Atomic Bomb Movie"
Peter Daube,"Educators,Power Rangers Beast Morphers,Human Traces,Power Rangers Dino Charge,Hillary,The Brokenwood Mysteries,Power Rangers Megaforce,Hounds,Power Rangers Samurai,Power Rangers Samurai,Waitangi: What Really Happened,The Warrior's Way,Legend of the Seeker,Shortland Street,The Amazing Extraordinary Friends,Power Rangers Mystic Force,Orange Roughies,Maddigan's Quest,Mataku,Power Rangers DinoThunder,Mercy Peak,The Strip,Tongan Ninja,John & Pogo,The Lord of the Rings: The Fellowship of the Ring,Stickmen,The Dark Knight,Truth About Demons,Duggan,The Adventures of Swiss Family Robinson,A Twist in the Tale,The Legend of William Tell,Xena: Warrior Princess,Bitch,Hercules: The Legendary Journeys,Eau de la vie,The Last Tattoo,Traffic Island,The Forgotten General,Power Rangers Dino Charge Rumble,Power Rangers Monster Bash Halloween Special"
Sabine Crossen,"Last Wish,The Moderator,It's All About the Manners,Les Notes,The House of Gaunt,Sam,No Dominion,Martin, sexe faible,Trauma Zéro,Over an AirBnb,Wendigo,Scènes de ménages,Fantastic Beasts: The Crimes of Grindelwald,Recoil,Sweetheart,Motherland,Un village français,Six Hot Chicks in a Warehouse,Unspoken,Little Thief,Augmented,Les arbres sont bleus,Sebastian,What Emma Did,Into the Stream,Rogue One: A Star Wars Story,Blue-Eyed Me,Predator Dark Ages,Survivor,Spavento,Through the Air,Richard III: The Princes in the Tower,Obsession: Dark Desires,The Dinner,Un village presque parfait,Covert Operation,Rosemary's Baby,The Love Punch,Le grand méchant loup,Crossing Lines,Soleil rouge,S.O.L.I.I.D,My Best Holidays,Amy,Bienvenue à bord,Paris monopole,Obsessions,Éternelle,Mademoiselle Joubert,Plus belle la vie,Citizen versus Kane,20something,Ladies of the Law,Night and Day,One,Ce soir, je dors chez toi,Hitman,Le juge est une femme,Illusion,Surface sensible,Jean-Philippe,Olé!,L'antidote,The Brice Man,Quality Control,Shadow girl - La fille de l'ombre,The Lord of the Rings: The Fellowship of the Ring,Bienvenue chez Candy,O Wimbowé,Resurrection,Spavento,L'amour rend aveugle,Bienvenue chez Candy,The Wick,O Wimbowé,Resurrection,L'amour rend aveugle,O Wimbowé,L'amour rend aveugle,Red Steel 2,Heavy Rain,Six Hot Chicks in a Warehouse,Film de présentation FashionPartner Group"
Bob Blackwell,"Shortland Street,The Lord of the Rings: The Fellowship of the Ring,Xena: Warrior Princess"
Norman Cates,"Jungle Cruise,The Falcon and the Winter Soldier,Godzilla vs. Kong,Zack Snyder's Justice League,The Wilds,The Christmas Chronicles: Part Two,Gemini Man,Game of Thrones,Mortal Engines,Aquaman,Avengers: Infinity War,Rampage,Valerian and the City of a Thousand Planets,War for the Planet of the Apes,Spectral,The BFG,Alvin and the Chipmunks: The Road Chip,The Hunger Games: Mockingjay - Part 2,AllenWatson Investigates,Furious 7,The Hobbit: The Battle of the Five Armies,Dawn of the Planet of the Apes,The Hobbit: The Desolation of Smaug,The Wolverine,Man of Steel,Iron Man 3,Abraham Lincoln: Vampire Hunter,The Avengers,The Adventures of Tintin,Rise of the Planet of the Apes,Gulliver's Travels,Knight and Day,The A-Team,Avatar,The Lovely Bones,The Day the Earth Stood Still,Eel Girl,The Chronicles of Narnia: Prince Caspian,Jumper,The Water Horse,Eragon,X-Men: The Last Stand,King Kong,I, Robot,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Eel Girl,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Turtle-Bank Hustler,The Lord of the Rings: The Fellowship of the Ring,O Negative,Eel Girl,Funny Little Guy"
Ben Britton,"The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring"
Lynden Berryman,"The Lord of the Rings: The Fellowship of the Ring,DNZ: The Real Middle Earth"
Jed Brophy,"Funny Science Fiction Podcast,The Luminaries,Killer Sofa,Die Like A Shark,Blue Moon,The Men Who Built America: Frontiersmen,Shelter,The Shannara Chronicles,The Dead Room,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,The Offering,Beep Beep and the Island of Terror,The Hobbit: An Unexpected Journey,Tangiwai,Dangerous Ride,Darryn Exists,The Warrior's Way,Tracker,Home by Christmas,Legend of the Seeker,Dreamer,District 9,Second Hand Wedding,Heavenly Sword,The Killian Curse,King Kong,Fracture,The Lord of the Rings: The Return of the King,Perfect Strangers,Freaky,Revelations: The Initial Journey,The Lord of the Rings: The Two Towers,Tongan Ninja,The Dark Knight,The Lord of the Rings: The Fellowship of the Ring,Xena: Warrior Princess,The Adventures of Swiss Family Robinson,Group Therapy,The Enid Blyton Secret Series,Mirror, Mirror,Chicken,Return to Treasure Island,Hercules: The Legendary Journeys,A Little Death,Coverstory,Heavenly Creatures,Lemming Aid,The Last Tattoo,Absent Without Leave,Chunuk Bair,Married,Dead Alive,Shortland Street,Shark in the Park,Pete's Dragon,The Lord of the Rings: The Two Towers,The Lovely Bones,The Hobbit: An Unexpected Journey,Everybody Else Is Taken,Hellblazerbiz,The Jimmy Star Show with Ron Russell,Recruiting the Five Armies,The Hobbit: The Battle of Five Armies - New Zealand: Home of Middle-Earth - Part 3,Calgary Expo 2014,Rencontres de cinéma,Big Morning Buzz Live,The Hobbit: Video Blog 1 - Start of Production,RingCon 2010,Home of the Horse Lords,Cameras in Middle-Earth,Weta Workshop,Lego the Hobbit: The Video Game,Lego the Lord of the Rings: The Video Game,Cinemassacre's Monster Madness,The Lord of the Rings: The Third Age"
Riley Brophy,"Encounters,Two Naked Gay Guys,Dwarf on a Pig,The Hobbit: The Battle of the Five Armies,CNT Live!,The Hobbit: The Desolation of Smaug,Double Happy,Eagle vs Shark,The Killian Curse,Rock,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Hobbit: The Desolation of Smaug - The Peoples and Denizens of Middle-earth,Lines"
Ryan Carey,"Mulan,Mortal Engines,The Meg,Ash vs Evil Dead,Mechanic: Resurrection,The Hobbit: The Battle of the Five Armies,Spartacus,Evil Dead,Spartacus: Gods of the Arena,Yogi Bear,Avatar,The Lovely Bones,Legend of the Seeker,Underworld: Rise of the Lycans,The Chronicles of Narnia: Prince Caspian,30 Days of Night,Ozzie,King Kong,The Tribe,Alexander,Power Rangers: Dino Thunder,The Lord of the Rings: The Return of the King,Power Rangers: Ninja Storm,Terror Peak,The Lord of the Rings: The Two Towers,Bikini Bandits,The Lord of the Rings: The Fellowship of the Ring,Xena: Warrior Princess,No One Can Hear You,Cleopatra 2525,Fearless,Young Hercules,Hercules: The Legendary Journeys,Hercules in the Maze of the Minotaur,Hercules: The Legendary Journeys - The Circle of Fire,Hercules: The Legendary Journeys - Hercules and the Lost Kingdom,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Hamlet,I Love My Suit,Good Image Media"
Katie Jackson,"Mortal Engines,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,The Lovely Bones,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Mortal Engines,Ghost in the Shell,Reunited Apart,Home Invasion,The Hobbit: The Chronicles of The Hobbit - Part 2: A Chance Meeting: Bree,The Hobbit: An Unexpected Journey - The Chronicles of The Hobbit - Part 1: Return to Hobbiton: The Shire"
Billy Jackson,"Mortal Engines,The Hobbit: The Battle of the Five Armies,The Lovely Bones,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Frighteners,The Making of 'The Frighteners'"
Peter Corrigan,"Regular Old Bogan,The Water Horse,King Kong,Revelations: The Initial Journey,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Enid Blyton Secret Series,Forgotten Silver,Shark in the Park,The Killing of Kane,Forgotten Silver,Behind the Bull: Forgotten Silver"
Jono Manks,"Black Sheep,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Two Towers"
Phil Grieve,"Wanted,Pete's Dragon,Fresh Meat,The Warrior's Way,Kaitangata Twitch,Spartacus,Bridge to Terabithia,Automaton,King Kong,Hercules,The Lord of the Rings: The Return of the King,Freaky,The Strip,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Stickmen,Truth About Demons,The Dark Knight,B Grade,Hercules: The Legendary Journeys,Young Hercules,The Legend of William Tell,Duggan,One Man's Poison,Mirror, Mirror"
Paul Bryson,The Lord of the Rings: The Fellowship of the Ring
Ben Price,"Of Kings and Prophets,Dracula Untold,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,Avatar,The Chronicles of Narnia: Prince Caspian,The Devil's Rock,Avatar,The Chronicles of Narnia: Prince Caspian,The Last Samurai,Master and Commander: The Far Side of the World,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,The Chronicles of Narnia: Secrets of the Duel"
Lance Fabian Kemp,The Lord of the Rings: The Fellowship of the Ring
Clinton Ulyatt,"Shortland Street,Shortland Street,The Lord of the Rings: The Fellowship of the Ring,Mirror, Mirror,The Rainbow Warrior,Absent Without Leave"
Jonathan Jordan,The Lord of the Rings: The Fellowship of the Ring
Sam La Hood,"Fundamental,30 Days of Night,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Tribe"
Semi Kuresa,The Lord of the Rings: The Fellowship of the Ring
Chris Streeter,"The Invisible Woman,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Sorcerer's Stone,Star Wars: Episode I - The Phantom Menace,The Mummy,The Young Americans,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Tribe,The Lord of the Rings: The Fellowship of the Ring"
Victoria Beynon-Cole,"Mortal Engines,The Hobbit: An Unexpected Journey,Underworld: Rise of the Lycans,The Chronicles of Narnia: Prince Caspian,30 Days of Night,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Without a Paddle,The Lord of the Rings: The Return of the King,Water,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,10,000 BC,Dwarf on a Pig,Who the 'Ell Is Tauriel?,Behind the Bull: Forgotten Silver"
Lee Hartley,"The Lost Children,King Kong,The Lord of the Rings: The Return of the King,Freaky,The Strip,The Lord of the Rings: The Two Towers,A New Way Home,The Lord of the Rings: The Fellowship of the Ring,Shortland Street"
David Weatherley,"Mosley,Path of Exile,Hounds,Under the Mountain,Legend of the Seeker,Ranger Vehicles,Power Rangers Operation Overdrive,Ranger Arsenal,Ranger Bios,Together,Star Wars: Knights of the Old Republic II - The Sith Lords,The Lord of the Rings: The Fellowship of the Ring,The Potato Factory,Buzz & Poppy,Hercules: The Legendary Journeys,Xena: Warrior Princess,Chess,Daydream Believer,My Grandpa Is a Vampire,Home and Away,A Country Practice,Beyond Gravity,The Shadow Trader,Worzel Gummidge Down Under,Talkback,Counter Measures,Skycrane,Death Warmed Up,Second Time Lucky,Other Halves,Mortimer's Patch,Prisoners,An Age Apart,Jack Holborn,Under the Mountain,Fuller's Earth,The Mackenzie Affair,The Park Terrace Murder,Lego the Lord of the Rings: The Video Game,Power Rangers Operation Overdrive: Behind the Scenes"
Harry Sinclair,"Kiri and Lou,Filthy Rich,Everything I Know About Love,Star-Crossed,90210,Toy Love,The Price of Milk,Topless Women Talk About Their Lives,Linda's Body,The Lounge Bar,Blam Blam Blam: Don't Fight it Marsha, it's Bigger Than Both of Us,Kiri and Lou,Toy Love,The Price of Milk,Topless Women Talk About Their Lives,Linda's Body,The Lounge Bar,Walkshort,Kiri and Lou,Blood Clots,The Call of Charlie,Don't Call It A Comeback,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Fellowship of the Ring,The Bar,The Footstep Man,Dead Alive,Linda's Body,The Lounge Bar,Walkshort,The Front Lawn: The Beautiful Things,The Front Lawn: When You Come Back Home,The Lounge Bar,Everything I Know About Love,Everything I Know About Love,Topless Women Talk About Their Lives,Heavenly Creatures,The Front Lawn: The Beautiful Things,20/20,Sunday,The Front Lawn: When You Come Back Home,Holmes,Cinemassacre's Monster Madness,The Lord of the Rings: The Battle for Middle-earth II - The Rise of the Witch-king,The Lord of the Rings: The Third Age,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers"
Cameron Rhodes,"The Royal Treatment,Joint Venture,The Brokenwood Mysteries,Colour Blind,Dead,The Luminaries,Life is Easy,Power Rangers Beast Morphers,My First Panic,Quimbo's Quest,The Pact,In Dark Places,The New Legends of Monkey,The Barefoot Bandits,Home and Away,Dear Murderer,Blue Murder: Killer Cop,Waiheke Republique,Jean,Hillary,Terry Teo,Rake,The Fruity,Penny Black,In Your Dreams,Deathgasm,Power Rangers Megaforce,Agent Anna,Secrets & Lies,Housebound,Killing Phillip,Romeo and Juliet: A Love Song,The Factory,Power Rangers Samurai: Clash of the Red Rangers - The Movie,Mr. Pip,Power Rangers Samurai,Bliss,Spies and Lies,Brave Donkey,I'm Not Harry Jenson.,Power Rangers Jungle Fury,Jinx Sister,Second Hand Wedding,We're Here to Help,The Devil Dared Me To,Rude Awakenings,Power Rangers Mystic Force,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Power Rangers S.P.D.,Auld Lang Syne,Power Rangers DinoThunder,Revelations: The Initial Journey,The Strip,The Lord of the Rings: The Fellowship of the Ring,Mercy Peak,The Dark Knight,A Twist in the Tale,The Adventures of Swiss Family Robinson,Xena: Warrior Princess,The Enid Blyton Secret Series,Bread & Roses,Absent Without Leave,The New Legends of Monkey,Mothers of the Revolution,Heaven and Hell - The Centrepoint Story,Kim Dotcom: Caught in the Web,The Russians Are Coming,2050: What If NZ..,Power Rangers Dino Charge Rumble"
Hugo Weaving,"Love Me,Loveland,Mr. Corman,Lone Wolf,Cinema Quarantine: Das Bad,Measure for Measure,Hearts and Bones,Mortal Engines,Patrick Melrose,Black '47,We're All Going to Die,Seven Types of Ambiguity,Jasper Jones,Hacksaw Ridge,The Dressmaker,Strangerland,The Hobbit: The Battle of the Five Armies,Manny Gets Censored,Healing,The Mule,The Turning,Mystery Road,The Hobbit: An Unexpected Journey,Cloud Atlas,Happy Feet Two,Captain America: The First Avenger,Transformers: Dark of the Moon,The Key Man,I, Spry,Rake,Oranges and Sunshine,Legend of the Guardians: The Owls of Ga'Hoole,The Wolfman,Transformers: Revenge of the Fallen,Last Ride,The Lord of the Rings: Conquest,The Tender Hook,Transformers,The Rose of Ba Ziz,The Girl Who Swallowed Bees,The Lord of the Rings: The Battle for Middle-earth II - The Rise of the Witch-king,Happy Feet,Who Killed Dr Bogle and Mrs Chandler,The Lord of the Rings: The Battle for Middle-Earth II,V for Vendetta,Little Fish,Peaches,Everything Goes,The Lord of the Rings: The Return of the King,The Matrix Revolutions,After the Deluge,Enter the Matrix,The Matrix Reloaded,Horseplay,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Russian Doll,The Old Man Who Read Love Stories,The Magic Pudding,Strange Planet,Little Echo Lost,The Matrix,True Colours,Babe: Pig in the City,Bedrooms and Hallways,The Interview,Halifax f.p.,The Kiss,True Love and Chaos,The Bite,Naked: Stories of Men,Bordertown,What's Going On, Frank?,Babe,Exile,The Adventures of Priscilla, Queen of the Desert,The Custodian,Frauds,Reckless Kelly,Seven Deadly Sins,Road to Alice,Proof,...Almost,Bangkok Hilton,Dadah Is Death,The Dirtwater Dynasty,Melba,The Right Hand Man,Frontier,For Love Alone,Sky Pirates,Bodyline,The City's Edge,...Maybe This Time,Ship of Theseus,Russian Doll,Mr. Corman,Black '47,The Tender Hook,Mickey's Magical Christmas: Snowed in at the House of Mouse,The Magic Pudding,True Love and Chaos,The Adventures of Priscilla, Queen of the Desert,Road to Alice,Didi's Last Wish,The Matrix Revisited,The Monkey's Mask,Lust and Revenge,Audacious,Ladies Please!,Australia in Colour,The Weekly with Charlie Pickering,9th AACTA Awards,Bow Street Meets,Made in Hollywood,D'Astrain at the Cinema,Mortal Artists,Lorraine,The Making of 'Jasper Jones',David Stratton's Stories of Australian Cinema,The Soul of War: Making 'Hacksaw Ridge',The IMDb Studio at Sundance,Australian Story,Artsnight,Between a Frock & a Hard Place,First Contact,Vivir de cine,Rencontres de cinéma,Janela Indiscreta,Captain America: The First Avenger - Behind the Skull,Oranges and Sunshine: Interviews with Emily Watson and Hugo Weaving,1st Look,Along for the Ride: The Making of 'Last Ride',Last Ride: Behind the Scenes - Rehearsal Footage,Last Ride: Behind the Scenes - Web Clips,The Human Factor: Exacting Revenge of the Fallen,Tackling Peace,Inside Film Awards,The Old Man Who Read Love Stories: Rumble in the Jungle,Director's Notebook: Re-imagining a Cult Classic for the 21st Century,Their War,In the Company of Actors,Peaches: Behind the Scenes Footage,How the Hell Did We Get Here?,Designing the Near Future,Freedom! Forever!: Making 'V for Vendetta',Peaches: Interviews,'V for Vendetta' Unmasked,HypaSpace,Filmography,Confessions of an Action Star,A Filmmaker's Journey: Making 'the Return of the King',The Matrix Reloaded Revisited,Cameras in Middle-Earth,The Burly Man Chronicles,The Matrix Reloaded: Unplugged,The Matrix Revolutions: Super Burly Brawl,The Old Man Who Read Love Stories Popcorn Taxi Q&A with Rolf de Heer & Hugo Weaving,The Matrix Recalibrated,The Matrix Revolutions: Double Agent Smith,Interviews from the Set of 'the Matrix Revolutions',Player$,The Matrix Revolutions: Behind the Scenes,National Geographic: Beyond the Movie - The Lord of the Rings: Return of the King,HBO First Look,Tinseltown TV,The Matrix Reloaded: Pre-Load,Filmland,The View,On the Set: The Lord of the Rings: The Two Towers,The Making of 'The Lord of the Rings',Cameras in Middle-Earth,Scale,Weta Workshop,A Passage to Middle-earth: The Making of 'Lord of the Rings',Quest for the Ring,Behind 'the Matrix',The Matrix Revisited,Drama School,Making 'The Matrix',The Campaign,Wild Australia: The Edge,Ladies Please!,Donahue,True Stories,Blood Brothers,The Making of Nothing,The Babe: The Making of a Legend,Groeten uit 19XX,La noche de...,Six Sides of Katharine Hepburn,Tellement Gay! Homosexualité et pop culture,Lego the Hobbit: The Video Game,South Australian Film Corporation 40th Anniversary Showreel,Lego the Lord of the Rings: The Video Game,Special Collector's Edition,CR: Enter the Matrix,Here's Looking at You, Boy,20 to 1,The Adventures of Priscilla, Queen of the Desert: The Bus from Blooperville,The Birth of a Queen: Directing a Drag Classic - The Adventures of Priscilla, Queen of the Desert,The Matrix: Path of Neo,Cinema mil,The Lord of the Rings: The Third Age,DNZ: The Real Middle Earth,The Fellowship of the Cast,The Lord of the Rings: The Two Towers,Lord of the Piercing,Great Performances"
Craig Parker,"Good Trouble,Shortland Street,Charmed,Agents of S.H.I.E.L.D.,Reign,NCIS,Sleepy Hollow,NCIS: Los Angeles,Auckland Daze,Spartacus,Shackleton's Captain,Waitangi: What Really Happened,Radiradirah,Legend of the Seeker,Diplomatic Immunity,Underworld: Rise of the Lycans,Weekend Lovers,Power Rangers S.P.D.,The Lord of the Rings: The Return of the King,Power Rangers Ninja Storm,The Lord of the Rings: The Two Towers,Mercy Peak,The Lord of the Rings: The Fellowship of the Ring,No One Can Hear You,Xena: Warrior Princess,A Twist in the Tale,Young Hercules,A Soldier's Sweetheart,City Life,The Tommyknockers,Gold: The World's Play,Gloss,The Lord of the Rings: The Return of the King,Kingdom Geek,Comic Vibe,Calgary Expo 2014,RingCon 2010,Nightline,RingCon 2009,Return of the Jackalope,Ring*Con 2004,Intrepid Journeys,Last Call,Cameras in Middle-Earth,Warriors of the Third Age,Ring Con 2002,2 People,Lego the Lord of the Rings: The Video Game,Rocked the Nation,Before Stardom,Look Who's Famous Now"
Martyn Sanderson,"Until Proven Innocent,Der Liebe entgegen,The Lord of the Rings: The Fellowship of the Ring,Cow,Atlantis High,The Legend of William Tell,The Adventures of Swiss Family Robinson,Mirror, Mirror,Duggan,Last Shave,Chicken,Mananui,Juloratoriet,The Enid Blyton Adventure Series,Savage Play,Hercules: The Legendary Journeys,High Tide,Hercules in the Underworld,Hercules: The Legendary Journeys - The Circle of Fire,The Last Tattoo,The Rainbow Warrior,Another Country,Desperate Remedies,The New Adventures of Black Beauty,Old Scores,Star Runner,An Angel at My Table,Brotherhood of the Rose,Never Say Die,Mauri,The Tale of Ruby Rose,Poor Man's Orange,The Harp in the South,Queen City Rocker,My First Suit,Roche,The Maintenance of Silence,Sylvia,Inside Straight,Trial Run,It's Lizzie to Those Close,The Lost Tribe,Utu,Wild Horses,One of those Blighters,Klynham Summer,Bad Blood,Jocko,Kingi's Story,Mortimer's Patch,A Woman of Good Character,Squeeze,Beyond Reasonable Doubt,Children of Fire Mountain,Jack Winter's Dream,Gather Your Dreams,Solo,Autumn Fires,The Governor,Wild Man,Epidemic,Blerta,Richard Pearse,Percy the Policeman,Richard John Seddon: Premier,Matlock Police,Division 4,Ned Kelly,Contrabandits,Betrayal,Gold,Gold: The World's Play,Talking Drums,Waka: The Awakening Dream,Flying Fox in a Freedom Tree,Seekers,Pallet on the Floor,Heart of the Stag,One of those Blighters,Man of the Trees,Solo,Autumn Fires,Wild Man,A Stitch in time,Blerta,The Hum,Skippy,Contrabandits,Flying Fox in a Freedom Tree,Keskidee Aroha,Charlie Horse,A Stitch in time,The Magpies,A Stone in the Bush,Keskidee Aroha,A Stitch in time,A Stone in the Bush,A Stitch in time,A Stone in the Bush,Charlie Horse,A Stone in the Bush,Charlie Horse,A Stitch in time,Patu!,Barry Barclay. The Camera on the Shore.,Numero Bruno,Making Utu,Keskidee Aroha,Charlie Horse,The Making of 'The Governor',The Magpies,Jack Thompson Discusses 'Bad Blood'"
